id,name,lat,long,count,duration,q10_max,q50_max,q90_max,q10_min,q50_min,q90_min
886,EN000026115,59.517,26.533,2.2,13,225.944,26.4,30.3,170.936,19.779,225.648
887,EN000026116,58.917,22.067,1,92,20.224,20.224,20.224,18.899,18.899,18.899
888,EN000026120,59,22.817,4,9.5,24.45,27.6,36.2,207.175,218.385,248.335
889,EN000026128,58.95,23.817,2.4,15.5,233.573,27.3,31.06,185.313,206.475,233.676
890,EN000026134,58.567,23.517,3.6,8,239.204,27.6,31.6,197.393,22.743,244.232
891,EN000026135,58.967,24.733,4.2,9,24.96,28.5,30.32,204.514,21.781,24.132
892,EN000026141,58.817,25.417,3.6,8,23.4,27.2,29.71,203.076,21.679,23.809
893,EN000026214,59.133,26.233,4.2,7,242.458,28.3,31.02,208.586,22.524,243.034
894,EN000026226,58.367,25.6,1.4,64,22.756,29.6,31.8,204.892,22.172,23.501
895,EN000026229,58.1,23.967,2,26,21.4,27,32,20.187,20.416,23.26
896,EN000026242,57.867,24.367,4.4,8.5,23.95,28.2,31.8,205.706,22.08,248.235
897,EN000026249,58.3,267.331,4.2,7,24.8,29,32.66,20.926,22.87,25.314
898,ENE00100914,578.458,270.192,2,22.5,23.85,28.3,31,189.265,21.083,23.043
899,ES000078650,583.831,218.153,4,8,35,35.4,37.45,336.215,34.259,347.715
900,ES003800510,13.567,-89.833,2.8,6.5,34.6,36,36.16,331.127,335.795,339.173
901,ET000063331,13.7,-89.117,0,NA,NA,NA,NA,NA,NA,NA
902,ET000063333,12.55,37.417,1,92,30.087,30.087,30.087,28.701,28.701,29.213
903,ET000063402,11.117,39.733,0,NA,NA,NA,NA,NA,NA,NA
904,ET000063403,7.667,36.833,1,121,25.897,25.897,25.897,25.357,25.357,25.36
905,ET000063450,8.15,35.533,0,NA,NA,NA,NA,NA,NA,NA
906,ET000063471,9.033,38.75,1.2,93,347.069,34.769,34.769,330.623,33.812,342.037
907,EZ000011464,9.6,41.85,4.4,12,26.5,31.7,34.7,219.664,23.693,255.994
908,EZM00011406,505.544,139.314,4.4,10.5,29,31.7,32.6,228.258,244.805,263.526
909,EZM00011518,50.067,12.383,4,15,27.7,32.15,33.6,227.045,242.745,265.175
910,EZM00011603,50.101,14.26,3.6,15,27.33,31.5,34.93,221.158,24.712,27.3
911,EZM00011659,50.767,15.017,4.2,15,29.4,30.3,34.36,229.108,23.744,271.504
912,EZM00011723,49.583,15.767,2.8,14,27.47,33.45,34.93,247.328,262.475,271.721
913,EZM00011782,49.151,16.694,4.8,8,27.52,32.2,35,233.605,252.915,269.191
914,FG000081405,49.696,18.111,0.2,3,32.3,32.3,32.3,32,32,32
915,FI000002401,4.833,-52.367,3,16,27.3,29.2,29.6,20.902,22.425,24.123
916,FI000002963,624.019,256.783,3.2,9,23.62,28.5,30.9,207.331,215.595,242.369
917,FI000007501,608.139,235.006,3,15,24.7,27.2,29.6,19.668,20.678,23.278
918,FIE00141810,673.678,266.328,2,39.5,20.9,24.7,27.1,17.647,198.245,209.085
919,FIE00141935,597.842,213.708,3.2,12.5,26.4,27.9,30.67,209.365,22.741,241.068
920,FIE00142080,603.867,225.544,2.4,23,25.34,28.8,30.7,210.411,22.631,243.112
921,FIE00142101,603.269,249.603,1,94,21.157,21.157,21.157,19.987,19.987,19.987
922,FIE00142511,60.2,249.167,3,11,26.4,29.4,32,20.729,22.509,24.518
923,FIE00142751,605.153,222.775,3.2,15,22.42,28.6,31.7,204.185,217.965,241.715
924,FIE00143066,605.956,248.064,2.8,18,26.58,29.3,31.3,212.584,22.305,24.509
925,FIE00143231,611.994,260.528,3.2,19.5,26.27,29.7,31.4,208.838,22.516,239.793
926,FIE00143381,610.439,281.542,2.8,20.5,25.16,28.6,31.5,20.294,21.882,237.372
927,FIE00144132,618.381,224.669,3,9,24.2,27.7,31.1,20.52,21.775,23.907
928,FIE00144212,618.017,293.181,3.8,8,26.06,27.7,29.84,196.392,21.122,232.702
929,FIE00144322,630.417,217.678,3.6,12.5,24.73,29.4,31.36,214.326,22.535,24.053
930,FIE00144712,629.367,224.908,2.6,14,26.1,28.2,29.9,205.884,22.094,237.486
931,FIE00144877,631.431,273.158,3.2,10,22.84,28.6,30.3,199.821,219.125,225.978
932,FIE00144882,626.594,296.144,3.6,7.5,23.84,28.7,30.11,195.515,22.205,233.788
933,FIE00145377,632.317,292.378,2.8,10.5,25.05,28.3,29.67,198.057,21.494,229.883
